Tweet_count,Username,Text,Created At,Retweets,Likes
87,Narendra Modi,Addressing the press meet with President @anuradisanayake of Sri Lanka. https://t.co/VdSD9swdFh,Mon Dec 16 08:25:05 +0000 2024,3793,17584
88,Narendra Modi,"If the Congress and its rotten ecosystem think their malicious lies can hide their misdeeds of several years, especially their insult towards Dr. Ambedkar, they are gravely mistaken!  The people of India have seen time and again how one Party, led by one dynasty, has indulged in",Wed Dec 18 07:26:16 +0000 2024,21828,85689
89,Narendra Modi,"Congratulations to the Indian Junior Women's Hockey Team for winning the Asia Cup title. The team showed immense grit and determination. This success also shows the increasing passion towards Hockey, especially among the youth. My best wishes to the team for their future https://t.co/mLXN8vfw9q",Mon Dec 16 15:38:25 +0000 2024,5967,46972
90,Narendra Modi,The iconic characters and unforgettable melodies of Raj Kapoor films continue to resonate with audiences worldwide. People admire how his works highlight diverse themes with ease and excellence. The music of his films is also extremely popular.,Sat Dec 14 05:29:57 +0000 2024,839,2578
91,Narendra Modi,Shri Raj Kapoor was not just a filmmaker but a cultural ambassador who took Indian cinema to the global stage. Generations of filmmakers and actors can learn so much from him. I once again pay tributes to him and recall his contribution to the creative world.,Sat Dec 14 05:29:58 +0000 2024,851,2620
92,Narendra Modi,"Birthday wishes to Union Minister Shri Ram Mohan Naidu Kinjarapu Ji. Popular among the youth, he is working towards enhancing India’s aviation infrastructure. May he be blessed with a long and healthy life.   @RamMNK",Wed Dec 18 03:48:39 +0000 2024,4045,35188
93,Narendra Modi,"Today, on Vijay Diwas, we honour the courage and sacrifices of the brave soldiers who contributed to India’s historic victory in 1971. Their selfless dedication and unwavering resolve safeguarded our nation and brought glory to us. This day is a tribute to their extraordinary",Mon Dec 16 03:27:21 +0000 2024,8901,53201
94,Narendra Modi,"It was indeed wonderful meeting you, President Anura Kumara Dissanayake. Your visit to India is going to add great momentum to the India-Sri Lanka friendship!   @anuradisanayake",Mon Dec 16 13:18:33 +0000 2024,3882,30289
95,Narendra Modi,"Birthday wishes to Union Minister Shri HD Kumaraswamy Ji. He is a very experienced public figure and has always been actively serving society. He is making important contributions towards developing the steel and heavy industries sectors, which are vital to becoming self-reliant.",Mon Dec 16 03:28:21 +0000 2024,2546,20539
96,Narendra Modi,"India and Sri Lanka will also work together to strengthen the fight against terrorism and organised crime. Likewise, we will also focus on maritime security, cyber security and disaster relief. https://t.co/OVre18geDx",Mon Dec 16 13:25:57 +0000 2024,1105,3705
97,Narendra Modi,"Deeply saddened by the devastation caused by Cyclone Chido in Mayotte. My thoughts and prayers are with the victims and their families. I am confident that under President @EmmanuelMacron’s leadership, France will overcome this tragedy with resilience and resolve. India stands in",Tue Dec 17 10:35:28 +0000 2024,3685,28930
98,Narendra Modi,The list of the Congress' sins towards Dr. Ambedkar includes:  Getting him defeated in elections not once but twice.  Pandit Nehru campaigning against him and making his loss a prestige issue.  Denying him a Bharat Ratna.  Denying his portrait a place of pride in Parliament’s,Wed Dec 18 07:26:17 +0000 2024,5933,18297
99,Narendra Modi,"Shri Raj Kapoor’s passion towards cinema began at a young age and worked hard to emerge as a pioneering storyteller. His films were a blend of artistry, emotion and even social commentary. They reflected the aspirations and struggles of common citizens.",Sat Dec 14 05:29:56 +0000 2024,287,963
